#Dt	counts	counts_err
-1.0799999999999999e-08	11.0	1.7777108047139163e-07
-1.079e-08	8.0	1.7976278324112974e-07
-1.078e-08	11.0	1.7777108047139163e-07
-1.077e-08	6.0	1.810905850876218e-07
-1.076e-08	6.0	1.810905850876218e-07
-1.0749999999999999e-08	9.0	1.7909888231788369e-07
-1.0739999999999999e-08	6.0	1.810905850876218e-07
-1.0729999999999999e-08	8.0	1.7976278324112974e-07
-1.072e-08	7.0	1.8042668416437577e-07
-1.071e-08	12.0	1.7710717954814574e-07
-1.07e-08	16.0	1.7445157585516142e-07
-1.069e-08	5.0	1.817544860108678e-07
-1.0679999999999999e-08	12.0	1.7710717954814574e-07
-1.0669999999999999e-08	6.0	1.810905850876218e-07
-1.0659999999999999e-08	7.0	1.8042668416437577e-07
-1.065e-08	11.0	1.7777108047139163e-07
-1.064e-08	10.0	1.7843498139463763e-07
-1.063e-08	8.0	1.7976278324112974e-07
-1.062e-08	7.0	1.8042668416437577e-07
-1.0609999999999999e-08	7.0	1.8042668416437577e-07
-1.0599999999999999e-08	15.0	1.751154767784074e-07
-1.059e-08	6.0	1.810905850876218e-07
-1.058e-08	11.0	1.7777108047139163e-07
-1.057e-08	9.0	1.7909888231788369e-07
-1.056e-08	11.0	1.7777108047139163e-07
-1.055e-08	11.0	1.7777108047139163e-07
-1.0539999999999999e-08	8.0	1.7976278324112974e-07
-1.0529999999999999e-08	12.0	1.7710717954814574e-07
-1.052e-08	5.0	1.817544860108678e-07
-1.051e-08	9.0	1.7909888231788369e-07
-1.05e-08	9.0	1.7909888231788369e-07
-1.049e-08	7.0	1.8042668416437577e-07
-1.0479999999999999e-08	9.0	1.7909888231788369e-07
-1.0469999999999999e-08	7.0	1.8042668416437577e-07
-1.0459999999999999e-08	5.0	1.817544860108678e-07
-1.045e-08	5.0	1.817544860108678e-07
-1.044e-08	4.0	1.8241838693411377e-07
-1.043e-08	12.0	1.7710717954814574e-07
-1.042e-08	11.0	1.7777108047139163e-07
-1.0409999999999999e-08	6.0	1.810905850876218e-07
-1.0399999999999999e-08	14.0	1.757793777016536e-07
-1.0389999999999999e-08	16.0	1.7445157585516142e-07
-1.038e-08	13.0	1.7644327862489963e-07
-1.037e-08	6.0	1.810905850876218e-07
-1.036e-08	9.0	1.7909888231788369e-07
-1.035e-08	13.0	1.7644327862489963e-07
-1.0339999999999999e-08	14.0	1.757793777016536e-07
-1.0329999999999999e-08	5.0	1.817544860108678e-07
-1.0319999999999999e-08	10.0	1.7843498139463763e-07
-1.031e-08	9.0	1.7909888231788369e-07
-1.03e-08	14.0	1.757793777016536e-07
-1.029e-08	4.0	1.8241838693411377e-07
-1.028e-08	7.0	1.8042668416437577e-07
-1.0269999999999999e-08	9.0	1.7909888231788369e-07
-1.0259999999999999e-08	8.0	1.7976278324112974e-07
-1.0249999999999999e-08	7.0	1.8042668416437577e-07
-1.024e-08	7.0	1.8042668416437577e-07
-1.023e-08	6.0	1.810905850876218e-07
-1.022e-08	12.0	1.7710717954814574e-07
-1.021e-08	10.0	1.7843498139463763e-07
-1.0199999999999999e-08	8.0	1.7976278324112974e-07
-1.0189999999999999e-08	15.0	1.751154767784074e-07
-1.018e-08	12.0	1.7710717954814574e-07
-1.017e-08	10.0	1.7843498139463763e-07
-1.016e-08	12.0	1.7710717954814574e-07
-1.015e-08	11.0	1.7777108047139163e-07
-1.014e-08	4.0	1.8241838693411377e-07
-1.0129999999999999e-08	5.0	1.817544860108678e-07
-1.0119999999999999e-08	13.0	1.7644327862489963e-07
-1.011e-08	6.0	1.810905850876218e-07
-1.01e-08	15.0	1.751154767784074e-07
-1.009e-08	11.0	1.7777108047139163e-07
-1.008e-08	3.0	1.8308228785735974e-07
-1.007e-08	11.0	1.7777108047139163e-07
-1.0059999999999999e-08	16.0	1.7445157585516142e-07
-1.0049999999999999e-08	5.0	1.817544860108678e-07
-1.004e-08	13.0	1.7644327862489963e-07
-1.003e-08	12.0	1.7710717954814574e-07
-1.002e-08	13.0	1.7644327862489963e-07
-1.001e-08	13.0	1.7644327862489963e-07
-1e-08	10.0	1.7843498139463763e-07
-9.989999999999999e-09	4.0	1.8241838693411377e-07
-9.979999999999999e-09	14.0	1.757793777016536e-07
-9.97e-09	9.0	1.7909888231788369e-07
-9.96e-09	5.0	1.817544860108678e-07
-9.95e-09	5.0	1.817544860108678e-07
-9.94e-09	11.0	1.7777108047139163e-07
-9.929999999999999e-09	8.0	1.7976278324112974e-07
-9.919999999999999e-09	11.0	1.7777108047139163e-07
-9.909999999999999e-09	8.0	1.7976278324112974e-07
-9.9e-09	5.0	1.817544860108678e-07
-9.89e-09	7.0	1.8042668416437577e-07
-9.88e-09	7.0	1.8042668416437577e-07
-9.87e-09	13.0	1.7644327862489963e-07
-9.859999999999999e-09	10.0	1.7843498139463763e-07
-9.849999999999999e-09	9.0	1.7909888231788369e-07
-9.839999999999999e-09	9.0	1.7909888231788369e-07
-9.83e-09	7.0	1.8042668416437577e-07
-9.82e-09	12.0	1.7710717954814574e-07
-9.81e-09	6.0	1.810905850876218e-07
-9.8e-09	6.0	1.810905850876218e-07
-9.789999999999999e-09	11.0	1.7777108047139163e-07
-9.779999999999999e-09	12.0	1.7710717954814574e-07
-9.769999999999999e-09	4.0	1.8241838693411377e-07
-9.76e-09	11.0	1.7777108047139163e-07
-9.75e-09	6.0	1.810905850876218e-07
-9.74e-09	10.0	1.7843498139463763e-07
-9.73e-09	11.0	1.7777108047139163e-07
-9.719999999999999e-09	12.0	1.7710717954814574e-07
-9.709999999999999e-09	8.0	1.7976278324112974e-07
-9.7e-09	15.0	1.751154767784074e-07
-9.69e-09	6.0	1.810905850876218e-07
-9.68e-09	8.0	1.7976278324112974e-07
-9.67e-09	12.0	1.7710717954814574e-07
-9.66e-09	6.0	1.810905850876218e-07
-9.649999999999999e-09	17.0	1.737876749319155e-07
-9.639999999999999e-09	10.0	1.7843498139463763e-07
-9.63e-09	6.0	1.810905850876218e-07
-9.62e-09	9.0	1.7909888231788369e-07
-9.61e-09	5.0	1.817544860108678e-07
-9.6e-09	11.0	1.7777108047139163e-07
-9.59e-09	7.0	1.8042668416437577e-07
-9.579999999999999e-09	9.0	1.7909888231788369e-07
-9.569999999999999e-09	11.0	1.7777108047139163e-07
-9.56e-09	13.0	1.7644327862489963e-07
