LECROYWR640Zi,60050,Histogram
Segments,1,SegmentSize,5000
Segment,TrigTime,TimeSinceSegment1
#1,09-Nov-2017 17:25:19,0                 
Time,Ampl
-2.5e-008,0
-2.499e-008,0
-2.498e-008,1
-2.497e-008,1
-2.496e-008,11
-2.495e-008,8
-2.494e-008,11
-2.493e-008,6
-2.492e-008,6
-2.491e-008,9
-2.49e-008,6
-2.489e-008,8
-2.488e-008,7
-2.487e-008,12
-2.486e-008,16
-2.485e-008,5
-2.484e-008,12
-2.483e-008,6
-2.482e-008,7
-2.481e-008,11
-2.48e-008,10
-2.479e-008,8
-2.478e-008,7
-2.477e-008,7
-2.476e-008,15
-2.475e-008,6
-2.474e-008,11
-2.473e-008,9
-2.472e-008,11
-2.471e-008,11
-2.47e-008,8
-2.469e-008,12
-2.468e-008,5
-2.467e-008,9
-2.466e-008,9
-2.465e-008,7
-2.464e-008,9
-2.463e-008,7
-2.462e-008,5
-2.461e-008,5
-2.46e-008,4
-2.459e-008,12
-2.458e-008,11
-2.457e-008,6
-2.456e-008,14
-2.455e-008,16
-2.454e-008,13
-2.453e-008,6
-2.452e-008,9
-2.451e-008,13
-2.45e-008,14
-2.449e-008,5
-2.448e-008,10
-2.447e-008,9
-2.446e-008,14
-2.445e-008,4
-2.444e-008,7
-2.443e-008,9
-2.442e-008,8
-2.441e-008,7
-2.44e-008,7
-2.439e-008,6
-2.438e-008,12
-2.437e-008,10
-2.436e-008,8
-2.435e-008,15
-2.434e-008,12
-2.433e-008,10
-2.432e-008,12
-2.431e-008,11
-2.43e-008,4
-2.429e-008,5
-2.428e-008,13
-2.427e-008,6
-2.426e-008,15
-2.425e-008,11
-2.424e-008,3
-2.423e-008,11
-2.422e-008,16
-2.421e-008,5
-2.42e-008,13
-2.419e-008,12
-2.418e-008,13
-2.417e-008,13
-2.416e-008,10
-2.415e-008,4
-2.414e-008,14
-2.413e-008,9
-2.412e-008,5
-2.411e-008,5
-2.41e-008,11
-2.409e-008,8
-2.408e-008,11
-2.407e-008,8
-2.406e-008,5
-2.405e-008,7
-2.404e-008,7
-2.403e-008,13
-2.402e-008,10
-2.401e-008,9
-2.4e-008,9
-2.399e-008,7
-2.398e-008,12
-2.397e-008,6
-2.396e-008,6
-2.395e-008,11
-2.394e-008,12
-2.393e-008,4
-2.392e-008,11
-2.391e-008,6
-2.39e-008,10
-2.389e-008,11
-2.388e-008,12
-2.387e-008,8
-2.386e-008,15
-2.385e-008,6
-2.384e-008,8
-2.383e-008,12
-2.382e-008,6
-2.381e-008,17
-2.38e-008,10
-2.379e-008,6
-2.378e-008,9
-2.377e-008,5
-2.376e-008,11
-2.375e-008,7
-2.374e-008,9
-2.373e-008,11
-2.372e-008,13
-2.371e-008,10
-2.37e-008,5
-2.369e-008,14
-2.368e-008,10
-2.367e-008,10
-2.366e-008,9
-2.365e-008,7
-2.364e-008,11
-2.363e-008,13
-2.362e-008,6
-2.361e-008,10
-2.36e-008,7
-2.359e-008,11
-2.358e-008,3
-2.357e-008,14
-2.356e-008,5
-2.355e-008,13
-2.354e-008,8
-2.353e-008,5
-2.352e-008,11
-2.351e-008,8
-2.35e-008,9
-2.349e-008,9
-2.348e-008,8
-2.347e-008,11
-2.346e-008,9
-2.345e-008,6
-2.344e-008,12
-2.343e-008,9
-2.342e-008,9
-2.341e-008,7
-2.34e-008,8
-2.339e-008,10
-2.338e-008,12
-2.337e-008,8
-2.336e-008,8
-2.335e-008,6
-2.334e-008,10
-2.333e-008,14
-2.332e-008,16
-2.331e-008,9
-2.33e-008,14
-2.329e-008,6
-2.328e-008,11
-2.327e-008,9
-2.326e-008,12
-2.325e-008,12
-2.324e-008,11
-2.323e-008,9
-2.322e-008,4
-2.321e-008,11
-2.32e-008,7
-2.319e-008,3
-2.318e-008,9
-2.317e-008,5
-2.316e-008,9
-2.315e-008,4
-2.314e-008,15
-2.313e-008,11
-2.312e-008,7
-2.311e-008,5
-2.31e-008,4
-2.309e-008,9
-2.308e-008,16
-2.307e-008,11
-2.306e-008,16
-2.305e-008,11
-2.304e-008,6
-2.303e-008,7
-2.302e-008,7
-2.301e-008,11
-2.3e-008,9
-2.299e-008,7
-2.298e-008,22
-2.297e-008,6
-2.296e-008,7
-2.295e-008,10
-2.294e-008,10
-2.293e-008,11
-2.292e-008,11
-2.291e-008,13
-2.29e-008,11
-2.289e-008,6
-2.288e-008,5
-2.287e-008,16
-2.286e-008,6
-2.285e-008,11
-2.284e-008,10
-2.283e-008,8
-2.282e-008,5
-2.281e-008,11
-2.28e-008,10
-2.279e-008,9
-2.278e-008,5
-2.277e-008,7
-2.276e-008,9
-2.275e-008,11
-2.274e-008,8
-2.273e-008,6
-2.272e-008,11
-2.271e-008,8
-2.27e-008,11
-2.269e-008,8
-2.268e-008,8
-2.267e-008,11
-2.266e-008,9
-2.265e-008,7
-2.264e-008,11
-2.263e-008,10
-2.262e-008,8
-2.261e-008,13
-2.26e-008,5
-2.259e-008,14
-2.258e-008,7
-2.257e-008,7
-2.256e-008,9
-2.255e-008,7
-2.254e-008,7
-2.253e-008,11
-2.252e-008,6
-2.251e-008,9
-2.25e-008,7
-2.249e-008,11
-2.248e-008,8
-2.247e-008,9
-2.246e-008,11
-2.245e-008,5
-2.244e-008,16
-2.243e-008,7
-2.242e-008,9
-2.241e-008,10
-2.24e-008,7
-2.239e-008,13
-2.238e-008,5
-2.237e-008,9
-2.236e-008,11
-2.235e-008,9
-2.234e-008,9
-2.233e-008,6
-2.232e-008,13
-2.231e-008,9
-2.23e-008,12
-2.229e-008,9
-2.228e-008,13
-2.227e-008,14
-2.226e-008,9
-2.225e-008,8
-2.224e-008,15
-2.223e-008,5
-2.222e-008,11
-2.221e-008,12
-2.22e-008,8
-2.219e-008,7
-2.218e-008,7
-2.217e-008,6
-2.216e-008,13
-2.215e-008,9
-2.214e-008,11
-2.213e-008,2
-2.212e-008,6
-2.211e-008,8
-2.21e-008,10
-2.209e-008,11
-2.208e-008,8
-2.207e-008,13
-2.206e-008,15
-2.205e-008,7
-2.204e-008,11
-2.203e-008,5
-2.202e-008,8
-2.201e-008,9
-2.2e-008,9
-2.199e-008,10
-2.198e-008,9
-2.197e-008,8
-2.196e-008,8
-2.195e-008,12
-2.194e-008,11
-2.193e-008,8
-2.192e-008,15
-2.191e-008,16
-2.19e-008,9
-2.189e-008,12
-2.188e-008,13
-2.187e-008,13
-2.186e-008,14
-2.185e-008,11
-2.184e-008,7
-2.183e-008,10
-2.182e-008,13
-2.181e-008,7
-2.18e-008,15
-2.179e-008,4
-2.178e-008,8
-2.177e-008,15
-2.176e-008,7
-2.175e-008,12
-2.174e-008,12
-2.173e-008,6
-2.172e-008,13
-2.171e-008,10
-2.17e-008,8
-2.169e-008,14
-2.168e-008,7
-2.167e-008,8
-2.166e-008,6
-2.165e-008,8
-2.164e-008,9
-2.163e-008,9
-2.162e-008,7
-2.161e-008,7
-2.16e-008,8
-2.159e-008,13
-2.158e-008,11
-2.157e-008,13
-2.156e-008,8
-2.155e-008,6
-2.154e-008,6
-2.153e-008,10
-2.152e-008,10
-2.151e-008,4
-2.15e-008,11
-2.149e-008,12
-2.148e-008,12
-2.147e-008,8
-2.146e-008,9
-2.145e-008,14
-2.144e-008,11
-2.143e-008,7
-2.142e-008,10
-2.141e-008,8
-2.14e-008,8
-2.139e-008,8
-2.138e-008,6
-2.137e-008,13
-2.136e-008,13
-2.135e-008,6
-2.134e-008,7
-2.133e-008,8
-2.132e-008,12
-2.131e-008,10
-2.13e-008,5
-2.129e-008,11
-2.128e-008,3
-2.127e-008,12
-2.126e-008,7
-2.125e-008,5
-2.124e-008,11
-2.123e-008,11
-2.122e-008,7
-2.121e-008,10
-2.12e-008,11
-2.119e-008,11
-2.118e-008,15
-2.117e-008,7
-2.116e-008,17
-2.115e-008,6
-2.114e-008,6
-2.113e-008,5
-2.112e-008,9
-2.111e-008,7
-2.11e-008,7
-2.109e-008,10
-2.108e-008,11
-2.107e-008,8
-2.106e-008,6
-2.105e-008,6
-2.104e-008,13
-2.103e-008,7
-2.102e-008,7
-2.101e-008,10
-2.1e-008,8
-2.099e-008,7
-2.098e-008,9
-2.097e-008,10
-2.096e-008,8
-2.095e-008,8
-2.094e-008,14
-2.093e-008,14
-2.092e-008,10
-2.091e-008,10
-2.09e-008,8
-2.089e-008,10
-2.088e-008,7
-2.087e-008,7
-2.086e-008,8
-2.085e-008,5
-2.084e-008,13
-2.083e-008,9
-2.082e-008,6
-2.081e-008,12
-2.08e-008,8
-2.079e-008,15
-2.078e-008,11
-2.077e-008,6
-2.076e-008,11
-2.075e-008,13
-2.074e-008,10
-2.073e-008,9
-2.072e-008,7
-2.071e-008,8
-2.07e-008,8
-2.069e-008,6
-2.068e-008,9
-2.067e-008,7
-2.066e-008,15
-2.065e-008,7
-2.064e-008,11
-2.063e-008,5
-2.062e-008,10
-2.061e-008,7
-2.06e-008,12
-2.059e-008,4
-2.058e-008,14
-2.057e-008,13
-2.056e-008,7
-2.055e-008,8
-2.054e-008,9
-2.053e-008,11
-2.052e-008,6
-2.051e-008,6
-2.05e-008,15
-2.049e-008,2
-2.048e-008,15
-2.047e-008,9
-2.046e-008,9
-2.045e-008,7
-2.044e-008,8
-2.043e-008,8
-2.042e-008,6
-2.041e-008,6
-2.04e-008,14
-2.039e-008,11
-2.038e-008,6
-2.037e-008,9
-2.036e-008,11
-2.035e-008,5
-2.034e-008,11
-2.033e-008,9
-2.032e-008,10
-2.031e-008,10
-2.03e-008,8
-2.029e-008,14
-2.028e-008,7
-2.027e-008,8
-2.026e-008,3
-2.025e-008,8
-2.024e-008,10
-2.023e-008,11
-2.022e-008,10
-2.021e-008,5
-2.02e-008,13
-2.019e-008,14
-2.018e-008,6
-2.017e-008,14
-2.016e-008,8
-2.015e-008,7
-2.014e-008,8
-2.013e-008,10
-2.012e-008,9
-2.011e-008,6
-2.01e-008,9
