LECROYWaveRunnerøP,20728,Histogram
Segments,1,SegmentSize,5000
Segment,TrigTime,TimeSinceSegment1
#1,26-May-2017 07:59:42,0                 
Time,Ampl
-4.5e-008,0
-4.499e-008,0
-4.498e-008,31
-4.497e-008,206
-4.496e-008,458
-4.495e-008,572
-4.494e-008,564
-4.493e-008,545
-4.492e-008,530
-4.491e-008,585
-4.49e-008,592
-4.489e-008,535
-4.488e-008,577
-4.487e-008,576
-4.486e-008,559
-4.485e-008,566
-4.484e-008,554
-4.483e-008,552
-4.482e-008,557
-4.481e-008,590
-4.48e-008,550
-4.479e-008,553
-4.478e-008,561
-4.477e-008,563
-4.476e-008,551
-4.475e-008,523
-4.474e-008,569
-4.473e-008,561
-4.472e-008,575
-4.471e-008,546
-4.47e-008,549
-4.469e-008,515
-4.468e-008,612
-4.467e-008,536
-4.466e-008,555
-4.465e-008,570
-4.464e-008,530
-4.463e-008,567
-4.462e-008,559
-4.461e-008,555
-4.46e-008,539
-4.459e-008,513
-4.458e-008,527
-4.457e-008,552
-4.456e-008,521
-4.455e-008,569
-4.454e-008,552
-4.453e-008,590
-4.452e-008,586
-4.451e-008,563
-4.45e-008,559
-4.449e-008,519
-4.448e-008,546
-4.447e-008,542
-4.446e-008,556
-4.445e-008,587
-4.444e-008,566
-4.443e-008,538
-4.442e-008,526
-4.441e-008,552
-4.44e-008,540
-4.439e-008,552
-4.438e-008,544
-4.437e-008,568
-4.436e-008,566
-4.435e-008,548
-4.434e-008,592
-4.433e-008,523
-4.432e-008,523
-4.431e-008,564
-4.43e-008,536
-4.429e-008,546
-4.428e-008,593
-4.427e-008,566
-4.426e-008,518
-4.425e-008,598
-4.424e-008,545
-4.423e-008,584
-4.422e-008,569
-4.421e-008,552
-4.42e-008,583
-4.419e-008,532
-4.418e-008,524
-4.417e-008,623
-4.416e-008,577
-4.415e-008,555
-4.414e-008,562
-4.413e-008,566
-4.412e-008,590
-4.411e-008,575
-4.41e-008,504
-4.409e-008,584
-4.408e-008,554
-4.407e-008,564
-4.406e-008,582
-4.405e-008,542
-4.404e-008,585
-4.403e-008,590
-4.402e-008,552
-4.401e-008,592
-4.4e-008,512
-4.399e-008,547
-4.398e-008,585
-4.397e-008,551
-4.396e-008,517
-4.395e-008,572
-4.394e-008,547
-4.393e-008,539
-4.392e-008,569
-4.391e-008,563
-4.39e-008,555
-4.389e-008,591
-4.388e-008,568
-4.387e-008,601
-4.386e-008,515
-4.385e-008,580
-4.384e-008,572
-4.383e-008,538
-4.382e-008,566
-4.381e-008,528
-4.38e-008,570
-4.379e-008,544
-4.378e-008,574
-4.377e-008,548
-4.376e-008,588
-4.375e-008,550
-4.374e-008,531
-4.373e-008,544
-4.372e-008,559
-4.371e-008,516
-4.37e-008,558
-4.369e-008,545
-4.368e-008,581
-4.367e-008,516
-4.366e-008,572
-4.365e-008,555
-4.364e-008,581
-4.363e-008,572
-4.362e-008,565
-4.361e-008,544
-4.36e-008,559
-4.359e-008,543
-4.358e-008,558
-4.357e-008,582
-4.356e-008,594
-4.355e-008,526
-4.354e-008,564
-4.353e-008,557
-4.352e-008,560
-4.351e-008,600
-4.35e-008,538
-4.349e-008,538
-4.348e-008,564
-4.347e-008,571
-4.346e-008,558
-4.345e-008,589
-4.344e-008,581
-4.343e-008,597
-4.342e-008,555
-4.341e-008,563
-4.34e-008,575
-4.339e-008,572
-4.338e-008,559
-4.337e-008,577
-4.336e-008,595
-4.335e-008,590
-4.334e-008,615
-4.333e-008,557
-4.332e-008,601
-4.331e-008,588
-4.33e-008,565
-4.329e-008,597
-4.328e-008,607
-4.327e-008,621
-4.326e-008,626
-4.325e-008,635
-4.324e-008,592
-4.323e-008,594
-4.322e-008,581
-4.321e-008,605
-4.32e-008,638
-4.319e-008,574
-4.318e-008,576
-4.317e-008,582
-4.316e-008,635
-4.315e-008,589
-4.314e-008,588
-4.313e-008,596
-4.312e-008,638
-4.311e-008,594
-4.31e-008,632
-4.309e-008,585
-4.308e-008,601
-4.307e-008,590
-4.306e-008,599
-4.305e-008,629
-4.304e-008,549
-4.303e-008,609
-4.302e-008,623
-4.301e-008,582
-4.3e-008,616
-4.299e-008,592
-4.298e-008,602
-4.297e-008,597
-4.296e-008,579
-4.295e-008,562
-4.294e-008,562
-4.293e-008,572
-4.292e-008,572
-4.291e-008,536
-4.29e-008,632
-4.289e-008,589
-4.288e-008,568
-4.287e-008,569
-4.286e-008,620
-4.285e-008,591
-4.284e-008,566
-4.283e-008,553
-4.282e-008,632
-4.281e-008,595
-4.28e-008,537
-4.279e-008,593
-4.278e-008,556
-4.277e-008,569
-4.276e-008,588
-4.275e-008,571
-4.274e-008,591
-4.273e-008,578
-4.272e-008,544
-4.271e-008,576
-4.27e-008,538
-4.269e-008,550
